Name,Description,Duration,Type
UI/UX designer,Створюй візуально привабливі та інтуїтивно зрозумілі для користувачів дизайни інтерфейсів.,4+ місяці,Full-time or Flex
Data analyst,"Аналізуй дані, які допоможуть бізнесу приймати обґрунтовані рішення на основі тенденцій і фактів.",4+ місяці,Full-time or Flex
QA engineer,"Перевіряй програмне забезпечення на помилки, щоб користувачі отримали якісний продукт.",3+ місяці,Full-time or Flex
Python developer,"Пиши й підтримуй код на Python для різного програмного забезпечення, аналізу даних і машинного навчання.",4+ місяці,Full-time or Flex
Digital marketer,"Створюй маркетингові кампанії, щоб допомагати бізнесу ставати впізнаваним і розвивати свій бренд.",3+ місяці,Full-time or Flex
Front-end developer,"Розробляй видимі частини вебсторінок і мобільних застосунків, щоб кожен клік і скрол були плавними.",5+ місяців,Full-time or Flex
Full-stack developer,Розробляй продукт самостійно — від створення видимої частини (frontend) до серверної (backend).,5+ місяців,Full-time or Flex
DevOps engineer,"Налагоджуй інструменти і процеси, щоб програмне забезпечення швидше доходило до користувачів.",4+ місяці,Full-time or Flex
Java developer,"Розробляй надійне програмне забезпечення на Java, працюй з базами даних і серверною логікою.",4+ місяці,Full-time or Flex
Recruiter,Шукай і знаходь талановитих кандидатів для конкретних ролей і допомагай адаптуватись новачкам.,4+ місяці,Full-time or Flex
